"X_gene_name","Y_gene_name","Y_site","Pairwise_p_value","Pairwise_Est_param","Pairwise_Std_Error","Pairwise_BH","Pairwise_FWER","Pairwise_BY","idx_Mediator","Path_YX_p_value","Path_YMX_p_value","StdErr_X_in_YMXreg","StdErr_M_in_YMXreg","iProPath_p_value","iProPath_Est_param","iProPath_BH","iProPath_FWER","iProPath_BY"
"idx1","idx1000","true_trans.idx1.site1000",0.000898542133112534,0.616978265607907,0.182991243630388,0.0599028088741689,0.898542133112534,0.448400730292708,"Mediator_cis_variable1_idx1",0.00284903149955661,0.00782948693570166,0.181447193495304,0.160276381108835,0.00417788500312316,0.616978265607907,0.126602575852217,1,0.947679892412385
"idx1","idx999","true_trans.idx1.site999",0.370252652756344,0.14856102793039,0.165427282233978,0.892939323397357,1,1,"Mediator_cis_variable1_idx1",0.679622161988814,0.00338898691148453,0.161567454719527,0.142716161372214,0.00682317458271331,0.14856102793039,0.16245653768365,1,1
"idx1","idx998","true_trans.idx1.site998",0.990179448233251,-0.0019406929355882,0.15747136743826,0.999964435426087,1,1,"Mediator_cis_variable1_idx1",0.655303046324987,0.00443900066991237,0.155183604196175,0.137077162831027,0.00894242628128086,-0.0019406929355882,0.198720584028464,1,1
"idx1","idx997","true_trans.idx1.site997",0.134635093764783,0.228289045466929,0.151968428107618,0.737516304706113,1,1,"Mediator_cis_variable1_idx1",0.0845699257373443,0.0686948527845991,0.152520262595229,0.134724573379335,0.0758258372327368,0.228289045466929,0.617496353710768,1,1
"idx1","idx996","true_trans.idx1.site996",0.110629863966898,0.259087787413039,0.16167299658163,0.689932576172045,1,1,"Mediator_cis_variable1_idx1",0.106166311681669,0.777141684836946,0.163513791082853,0.144435403994408,0.275819081621243,0.259087787413039,0.856580998823735,1,1
"idx1","idx995","true_trans.idx1.site995",0.106940060397581,0.254178845289411,0.15695287285798,0.689932576172045,1,1,"Mediator_cis_variable1_idx1",0.0905896376460182,0.46845826553293,0.158558958243404,0.140058688867499,0.164554993584994,0.254178845289411,0.765372063186018,1,1
"idx1","idx994","true_trans.idx1.site994",2.61655972737676e-06,0.855493534269754,0.17678007630117,0.000523311945475352,0.00261655972737676,0.00391723631883366,"Mediator_cis_variable1_idx1",7.3995388988932e-06,0.107945602466148,0.177732963534645,0.156995518367269,1.47981025854855e-05,0.855493534269754,0.00147981025854855,0.0147981025854855,0.0110770765695086
"idx1","idx993","true_trans.idx1.site993",0.000503062804605886,0.668481659975527,0.188967203705621,0.035933057471849,0.503062804605886,0.268975854636007,"Mediator_cis_variable1_idx1",0.00169707936581186,0.0068819043599653,0.187172453422174,0.165333631784965,0.00272277047609888,0.668481659975527,0.0850865773780901,1,0.636913095587656
"idx1","idx992","true_trans.idx1.site992",0.0101437499036017,0.397220787941681,0.153023469791554,0.32721773882586,1,1,"Mediator_cis_variable1_idx1",0.00999727046021357,0.799693548937997,0.154772190671431,0.136713752024748,0.020873231175455,0.397220787941681,0.34218411763041,1,1
"idx1","idx991","true_trans.idx1.site991",0.0051397280281314,0.448010957814938,0.158326536596554,0.205589121125256,1,1,"Mediator_cis_variable1_idx1",0.0175605596459514,0.00342199978823384,0.154752490949992,0.136696350818368,0.005728340943699,0.448010957814938,0.150745814307869,1,1
"idx1","idx990","true_trans.idx2.site990",0.181385872256324,0.230787080040973,0.172072658291269,0.788354351188643,1,1,"Mediator_cis_variable1_idx1",0.175264922667748,0.801466732799577,0.17403959609609,0.153733083960025,0.462141038007239,0.230787080040973,0.900444114088779,1,1
"idx1","idx989","true_trans.idx2.site989",0.840805748064057,0.0344933380968266,0.171500303933287,0.988155628325467,1,1,"Mediator_cis_variable1_idx1",0.748190385950411,0.35612925996291,0.173122203981162,0.152922730901342,0.578456873959181,0.0344933380968266,0.951128680176208,1,1
